openalex_id,doi,titulo,ano,periodico,source_id,issn,url,acesso_aberto,autores,docentes_ppge,linhas
"https://openalex.org/W7170563279","10.5902/1984644493938","Qualidade social na produção em educação: revisão da literatura no contexto da educação básica","2026","Educação (UFSM)","https://openalex.org/S2738869710","0101-9031","https://doi.org/10.5902/1984644493938","aberto","Luana Costa Almeida; Beatriz Nogueira Marques de Vasconcelos; Letícia Nardi","Luana Costa Almeida","EETPC"
"https://openalex.org/W7139002659","10.54899/rpd.v17n1-2601","Química que acolhe: estratégias inclusivas baseadas nas múltiplas inteligências para alunos com Transtorno do Espectro Autista","2026","Revista Projeção e Docência","https://openalex.org/S5406981653","2178-6275","https://doi.org/10.54899/rpd.v17n1-2601","fechado","Skarllat Mayana Kettle Furtado; Ettore Paredes Antunes; Renato Henriques de Souza","Ettore Paredes Antunes","ECM"
"https://openalex.org/W7204252240","10.31418/revistaabpn.v18i47.2166","RAÇA E TERRITÓRIO NAS JORNADAS DE 2013 NO RIO DE JANEIRO: EXPERIÊNCIAS DE ATIVISTAS E MILITANTES DA RAÇA NEGRA","2026","Revista da Associação Brasileira de Pesquisador s Negr s - ABPN","https://openalex.org/S4210214628","2177-2770","https://doi.org/10.31418/revistaabpn.v18i47.2166","aberto","Gislene Silva; Luís Antônio Groppo","Luís Antonio Groppo","HFSE"
"https://openalex.org/W7165756602","10.54886/scire.v32i1.5178","Rankings internacionais como fontes de informação para a governança universitária","2026","Scire representación y organización del conocimiento","https://openalex.org/S4210172642","1135-3716","https://doi.org/10.54886/scire.v32i1.5178","aberto","José Augusto Chaves Guimarães; María Cristina Piumbato Innocentini Hayashi","Maria Cristina Piumbato Innocentini Hayashi","HFSE"
"https://openalex.org/W7203615140","10.29327/243949.6.11-14","SONS, SABORES E IDENTIDADE: uma análise socioespacial comparativa entre o “Festival Café com Música” (Cristina/MG) e a “Festa do Maior Pé de Moleque do Mundo” (Piranguinho/MG","2026","Boletim Alfenense de Geografia","https://openalex.org/S4210238035","2764-1422","https://doi.org/10.29327/243949.6.11-14","aberto","Lucas Inácio Rodrigues; Carlos Roberto Massao Hayashi","Carlos Roberto Massao Hayashi","HFSE"
"https://openalex.org/W7167832935","10.7213/1981-416x.26.089.ao09en","Spanish research on learning arithmetic and its research methodologies","2026","Revista Diálogo Educacional","https://openalex.org/S4306527104","1518-3483","https://doi.org/10.7213/1981-416x.26.089.ao09en","aberto","José Wrigell; Klinger Teodoro Ciríaco; Ana Caballero Carrasco","Klinger Teodoro Ciríaco","FPOAE"
"https://openalex.org/W7202297905","10.1590/1983-2117-60375-t","Technology and Intellectual Labor in Primo Levi's Short Story “The Versifier”","2026","Ensaio","https://openalex.org/S2736400552","1415-2150","https://doi.org/10.1590/1983-2117-60375-t","aberto","João Carlos Soares Zuin; Michel Pisa Carnio","Michel Pisa Carnio","ECM"
"https://openalex.org/W7202027218","10.1590/1983-2117-60375","Tecnologia e trabalho intelectual a partir do conto “O versificador” de Primo Levi","2026","Ensaio","https://openalex.org/S2736400552","1415-2150","https://doi.org/10.1590/1983-2117-60375","aberto","Michel Pisa Carnio; João Carlos Soares Zuin","Michel Pisa Carnio","ECM"
"https://openalex.org/W7171428310","10.70773/revistatopicos/784917551","TEORIA DA COMPLEXIDADE E ALFABETIZAÇÃO CIENTÍFICA: ARTICULAÇÕES TEÓRICAS PARA O ENSINO DE CIÊNCIAS EM FAVORECIMENTO À FORMAÇÃO HUMANA INTEGRAL NO CONTEXTO DO NOVO ENSINO MÉDIO","2026","Revista Tópicos.","https://openalex.org/S4404661896","2965-6672","https://doi.org/10.70773/revistatopicos/784917551","aberto","Giselly de Moura Maciel; Ettore Paredes Antunes","Ettore Paredes Antunes","ECM"
"https://openalex.org/W7117977845","10.21527/2179-1309.2026.123.16098","Tertúlias literárias dialógicas na visão de professoras e familiares de crianças da educação infantil","2026","Revista Contexto & Educação","https://openalex.org/S4306526392","0102-8758","https://doi.org/10.21527/2179-1309.2026.123.16098","aberto","Anselmo Calzolari; Rafaela Maria Rodrigues; Roseli Rodrigues de Mello","Roseli Rodrigues de Mello","EETPC"
"https://openalex.org/W4416196546","10.18310/2446-4813.2025v11nsup5.4602","“Conhecimento se compartilha e faz cada um olhar para seu processo de trabalho!” Um relato de experiência a partir de portfólios reflexivos","2025","Saúde em Redes","https://openalex.org/S2739217285","2446-4813","https://doi.org/10.18310/2446-4813.2025v11nsup5.4602","aberto","Katarina Dudienas Dovidauskas; Bruna Rego Rangel Cabral; Adernanda de Rocco Guimarães; Márcia Cristina Carneiro Cruz; Flávio César Braga Reis; Willian Fernandes Luna; Aline Guerra Aquilante","Aline Guerra Aquilante","PSPE"
"https://openalex.org/W4413942573","10.26694/rles.v29i60.6571","1º ANO NÃO É 1ª SÉRIE! REFLEXÕES TEÓRICO-METODOLÓGICAS SOBRE INFÂNCIA E MATEMÁTICA NO ENSINO FUNDAMENTAL","2025","Linguagens Educação e Sociedade","https://openalex.org/S4210195246","1518-0743","https://doi.org/10.26694/rles.v29i60.6571","aberto","Klinger Teodoro Ciríaco; Leny Rodrigues Martins Teixeira","Klinger Teodoro Ciríaco","FPOAE"
"https://openalex.org/W4409735619","10.30905/rde.v9i1.987","A capoeira como processo educativo para o restabelecimento da Erfahrung (Experiência)","2025","DEVIR EDUCAÇÃO","https://openalex.org/S4210191429","2526-849X","https://doi.org/10.30905/rde.v9i1.987","aberto","Eric Gabriel de Aguiar Maximiano; Luiz Roberto Gomes; Caroline Fernanda Soares","Luiz Roberto Gomes","ECS"
"https://openalex.org/W4415625895","10.20435/inter.v26i1.4788","A comunicação digital nos territórios rurais: uma análise da evolução da conectividade a partir dos dados da pesquisa TIC Domicílios (2015-2023)","2025","Interações (Campo Grande)","https://openalex.org/S4210171864","1518-7012","https://doi.org/10.20435/inter.v26i1.4788","aberto","Renato de Melo Serafin; Ezequiel Redin; Poliana Bruno Zuin; Gabriel Arroyo; Luís Fernando Soares Zuin","Poliana Bruno Zuin","HFSE"
"https://openalex.org/W4413209100","10.29181/2594-6463-2025-v9-n2-p186-200","A experiência do brincar por adultos: memórias e práticas ao longo da vida","2025","MOTRICIDADES Revista da Sociedade de Pesquisa Qualitativa em Motricidade Humana","https://openalex.org/S4210194316","2594-6463","https://doi.org/10.29181/2594-6463-2025-v9-n2-p186-200","aberto","Gabriela Dias Sartori; Fernando Donizete Alves","Fernando Donizete Alves","EETPC"
"https://openalex.org/W7128680008","10.12957/periferia.2025.91471","A FILANTROPIA ESTRATÉGICA","2025","Periferia","https://openalex.org/S4210220864","1984-9540","https://doi.org/10.12957/periferia.2025.91471","aberto","Cíntia Wolfart; Maria Cristina dos Santos Bezerra","Maria Cristina dos Santos","RED"
"https://openalex.org/W4407855231","10.46789/edugeo.v15i25.1409","A heterogeneidade criadora juvenil e a elaboração de sua condição cidadã com o suporte das ferramentas digitais","2025","Revista Brasileira de Educação em Geografia","https://openalex.org/S2736781941","2236-3904","https://doi.org/10.46789/edugeo.v15i25.1409","aberto","Marcos Roberto Pavani; Maria Aparecida Mello","Maria Aparecida Mello","EETPC"
"https://openalex.org/W4412937820","10.1590/s1678-4634202551282663por","A inclusão de estudantes surdos no ensino superior: desafios dessa realidade1","2025","Educação e Pesquisa","https://openalex.org/S2736467988","1517-9702","https://doi.org/10.1590/s1678-4634202551282663por","aberto","Yara Rosa Romanelli Campos Gonçalves da Silva; Fernando Stanzione Galizia","Fernando Stanzione Galizia","EETPC"
"https://openalex.org/W4407160603","10.18264/eadf.v15i1.2340","A Institucionalização da Educação a Distância na Rede Federal: Desafios e Perspectivas para os Institutos Federais de Minas Gerais","2025","EAD em FOCO","https://openalex.org/S4210226534","2177-8310","https://doi.org/10.18264/eadf.v15i1.2340","aberto","Cleder Tadeu Antao da Silva; Daniel Mill","Daniel Ribeiro Silva Mill","ECS"
"https://openalex.org/W4415070093","10.14393/obv9.e2025-20","A Inteligência Artificial na Educação e a formação da consciência: uma análise Leontieviana sobre o risco do “sentido pessoal” delegado ao algoritmo","2025","Obutchénie Revista de Didática e Psicologia Pedagógica","https://openalex.org/S4210189389","2526-7647","https://doi.org/10.14393/obv9.e2025-20","aberto","Elisiane Spencer Quevedo Goethel; Débora Cristina Fonseca","Débora Cristina Fonseca","EPFH"
"https://openalex.org/W4416320411","10.1590/es.297394","A INTELIGÊNCIA ARTIFICIAL, A ÉTICA E A RELAÇÃO ORGÂNICA ENTRE PROFESSORES E ALUNOS","2025","Educação & Sociedade","https://openalex.org/S2737687728","0101-7330","https://doi.org/10.1590/es.297394","aberto","Antônio Álvaro Soares Zuin; Pedro Goergen","Antonio Alvaro Soares Zuin","ECS"
